City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kousseri,72,CM,1580932050,14,12.08,15.03,75.2,5.82
1,Kathmandu,20,NP,1580931800,87,27.72,85.32,44.6,3.36
2,San Ramon,40,US,1580932025,50,37.78,-121.98,61.0,3.78
3,Laas,68,IT,1580932054,61,46.62,10.7,46.4,8.05
4,Qaanaaq,0,GL,1580932055,43,77.48,-69.36,-19.95,4.18
5,Albany,1,US,1580932056,40,42.6,-73.97,39.2,11.41
6,Kumul,68,CN,1580932057,62,42.8,93.45,15.46,0.81
7,Saint-Philippe,20,RE,1580932059,83,-21.36,55.77,78.8,14.99
8,Dikson,100,RU,1580932060,92,73.51,80.55,15.48,17.78
9,Barrow,1,US,1580932061,96,71.29,-156.79,-36.4,6.93
10,Atuona,100,PF,1580932062,73,-9.8,-139.03,82.18,19.57
11,Tiksi,0,RU,1580932063,97,71.69,128.87,-27.89,2.64
12,Hobart,75,AU,1580932065,71,-42.88,147.33,55.99,3.36
13,Hilo,90,US,1580932067,78,19.73,-155.09,75.0,12.75
14,Port Blair,100,IN,1580932068,67,11.67,92.75,78.69,9.86
15,Chifeng,0,CN,1580932069,68,42.27,118.96,-1.43,4.29
16,Talnakh,75,RU,1580932071,85,69.49,88.4,10.4,31.32
17,Kruisfontein,74,ZA,1580932072,80,-34.0,24.73,65.3,6.08
18,Rio Gallegos,75,AR,1580931788,33,-51.62,-69.22,57.2,13.87
19,Hithadhoo,100,MV,1580932074,81,-0.6,73.08,82.87,15.43
20,Mount Isa,40,AU,1580932078,100,-20.73,139.5,73.4,4.23
21,Bonavista,89,CA,1580932080,88,48.65,-53.11,30.0,15.99
22,Rikitea,62,PF,1580932081,80,-23.12,-134.97,80.17,16.96
23,Hong Kong,40,HK,1580932082,72,22.29,114.16,63.0,9.17
24,Iqaluit,90,CA,1580932084,77,63.75,-68.51,3.2,8.46
25,Lompoc,1,US,1580931951,29,34.64,-120.46,61.0,10.56
26,Vaini,40,TO,1580932087,94,-21.2,-175.2,78.8,9.17
27,Nanortalik,100,GL,1580932089,65,60.14,-45.24,32.4,20.22
28,Callaway,75,US,1580932090,83,30.15,-85.57,75.2,25.28
29,Griffith,90,US,1580932091,63,41.53,-87.42,30.99,10.29
30,Puri,75,IN,1580932092,100,19.8,85.85,64.4,1.12
31,Bathsheba,40,BB,1580932093,66,13.22,-59.52,84.2,20.8
32,Puerto Ayora,75,EC,1580932023,83,-0.74,-90.35,80.6,16.11
33,Rawson,0,AR,1580932096,57,-43.3,-65.1,60.42,15.48
34,Cherskiy,9,RU,1580932098,98,68.75,161.3,-38.13,3.58
35,Shingu,0,JP,1580932099,66,33.73,135.98,40.64,10.94
36,Saint Anthony,1,US,1580931882,46,45.02,-93.22,30.99,6.93
37,Viedma,88,AR,1580931927,42,-40.81,-63.0,68.65,19.22
38,Punta Arenas,75,CL,1580932104,61,-53.15,-70.92,50.0,11.41
39,Zhengjiatun,0,CN,1580932105,90,43.51,123.51,-14.1,5.97
40,Jamestown,1,US,1580932106,58,42.1,-79.24,33.01,6.93
41,Bredasdorp,35,ZA,1580932108,68,-34.53,20.04,66.2,5.82
42,San Rafael,0,AR,1580932110,33,-34.62,-68.33,74.75,12.91
43,Busselton,0,AU,1580932067,65,-33.65,115.33,69.01,5.57
44,Sa Kaeo,87,TH,1580932112,86,13.81,102.07,72.55,3.36
45,Wau,2,SS,1580932113,18,7.7,28.0,74.26,0.83
46,Bay City,75,US,1580932115,63,43.59,-83.89,30.99,6.93
47,Petrozavodsk,85,RU,1580932116,85,61.78,34.35,21.2,8.95
48,Guerrero Negro,4,MX,1580932118,23,27.98,-114.06,60.06,14.07
49,Guadalupe y Calvo,90,MX,1580932120,86,26.1,-106.97,35.56,12.88
50,Fare,1,PF,1580932121,73,-16.7,-151.02,82.27,14.65
51,George Town,20,MY,1580932096,78,5.41,100.34,82.4,3.36
52,Butaritari,97,KI,1580932125,77,3.07,172.79,83.79,22.41
